,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
144,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
145,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Mobile
146,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Private,Urban,Female,Yes,Mobile
147,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Mobile
148,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,No,Computer
149,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Public,Rural,Male,Yes,Computer
150,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,No,Public,Rural,Male,Yes,Computer
151,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,2,No,Private,Urban,Male,No,Mobile
152,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Female,No,Computer
153,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
154,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,Urban,Female,Yes,Computer
155,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Urban,Female,No,Mobile
156,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,Yes,Private,Urban,Male,No,Computer
157,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,3,No,Private,Rural,Female,No,Mobile
158,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,No,Computer
159,Hons or Grater,25.0,No,Yes,Yes,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Mobile
160,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,2,No,Private,Rural,Female,Yes,Computer
161,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,2,Yes,Public,Urban,Male,Yes,Computer
162,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,2,No,Public,Rural,Male,Yes,Computer
163,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,4,No,Private,Rural,Male,No,Computer
164,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Rural,Female,No,Computer
165,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,Yes,Computer
166,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,No,Private,Rural,Male,Yes,Computer
167,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Male,Yes,Mobile
168,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Rural,Female,Yes,Computer
169,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
170,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
171,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,3,3,Yes,Public,Rural,Female,No,Computer
172,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,No,Computer
173,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Mobile
174,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
175,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Public,Urban,Female,Yes,Computer
176,Hons or Grater,24.0,Yes,Yes,No,No,Rural,No,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Computer
177,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,Yes,Mobile
178,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,4,Yes,Private,Urban,Female,No,Mobile
179,Upto HSC,17.0,No,Yes,No,Yes,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
181,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,5,2,No,Private,Rural,Male,Yes,Mobile
182,Hons or Grater,22.0,No,Yes,No,Yes,Rural,Yes,Broadband,4,3,Yes,Public,Rural,Female,Yes,Computer
184,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,4,Yes,Private,Rural,Male,Yes,Computer
185,Upto HSC,17.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,2,Yes,Private,Rural,Male,No,Computer
186,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Female,Yes,Mobile
187,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,Yes,Private,Rural,Female,Yes,Computer
188,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Female,Yes,Computer
189,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Female,Yes,Computer
190,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,4,Yes,Private,Urban,Male,Yes,Computer
191,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
192,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,2,No,Private,Rural,Female,No,Mobile
193,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,4,Yes,Public,Rural,Male,No,Mobile
194,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,No,Private,Urban,Female,No,Computer
195,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,2,No,Private,Urban,Female,Yes,Computer
197,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,2,No,Private,Rural,Male,Yes,Mobile
198,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,Yes,Public,Rural,Male,Yes,Computer
199,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Public,Urban,Female,No,Computer
200,Upto HSC,19.0,No,Yes,No,Yes,Rural,No,Mobile Internet,5,4,No,Public,Rural,Male,No,Computer
201,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,3,3,No,Public,Rural,Female,No,Computer
202,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,No,Computer
203,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
204,Upto HSC,16.0,No,Yes,Yes,Yes,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,No,Mobile
205,Hons or Grater,23.0,Yes,Yes,No,Yes,Rural,No,Broadband,5,4,Yes,Public,Rural,Female,No,Computer
206,Upto HSC,21.0,No,Yes,No,No,Urban,No,Mobile Internet,3,4,No,Public,Rural,Female,Yes,Mobile
207,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,No,Private,Urban,Female,No,Computer
208,Upto HSC,22.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,5,3,No,Public,Rural,Male,No,Computer
209,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Female,Yes,Computer
210,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,2,No,Private,Rural,Male,Yes,Computer
211,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Female,Yes,Mobile
212,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,4,No,Public,Rural,Male,Yes,Computer
213,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
214,Upto HSC,18.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Mobile
