Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,No,Computer
Upto HSC,16,No,Yes,Yes,No,Rural,No,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Computer
Upto HSC,21,No,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Public,Rural,Female,,Computer
Hons or Grater,23,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Rural,Male,No,Computer
Upto HSC,22,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Computer
Upto HSC,22,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,2,No,Public,Rural,Female,Yes,Computer
Upto HSC,20,Yes,Yes,Yes,No,Urban,No,Broadband,5,2,No,Public,Rural,Male,Yes,Computer
Hons or Grater,23,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Male,Yes,Mobile
Upto HSC,,Yes,,Yes,No,,Yes,Broadband,5,4,No,,,,Yes,Computer
Hons or Grater,,,,No,No,,Yes,Broadband,5,4,No,,,,No,Computer
Upto HSC,,Yes,Yes,No,No,,Yes,Broadband,4,3,No,,,,Yes,Computer
Upto HSC,,,,No,No,,Yes,Broadband,5,4,No,,,,No,Computer
Upto HSC,18,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,5,2,Yes,Private,Rural,Male,No,Computer
Hons or Grater,24,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,2,Yes,Public,Rural,Male,Yes,Computer
Hons or Grater,25,No,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Public,Rural,Male,No,Computer
Hons or Grater,22,Yes,Yes,No,No,Rural,No,Mobile Internet,3,4,Yes,Public,Urban,Male,Yes,Mobile
Hons or Grater,22,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Mobile
Hons or Grater,25,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Urban,Male,,Mobile
Hons or Grater,21,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
Upto HSC,22,Yes,Yes,Yes,No,Rural,No,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Mobile
Upto HSC,22,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,No,Public,Rural,Female,No,Mobile
