,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
187,0,22.0,1,1,0,0,1,0,1,5,4,1,0,0,0,1,0
188,0,22.0,1,1,0,0,1,0,1,4,3,1,0,0,0,1,0
189,0,22.0,1,1,0,0,1,1,0,4,2,1,1,0,0,1,0
190,0,22.0,1,1,0,1,1,0,0,5,4,1,0,1,1,1,0
191,0,21.0,1,1,1,1,1,0,1,4,4,0,1,0,1,1,0
192,0,24.0,1,1,1,0,1,0,1,5,2,0,0,0,0,0,1
193,0,22.0,1,1,0,0,0,1,0,3,4,1,1,0,1,0,1
194,1,21.0,1,1,0,0,1,1,0,3,2,0,0,1,0,0,0
195,0,25.0,1,1,0,0,1,1,1,6,2,0,0,1,0,1,0
197,0,23.0,1,1,1,0,1,0,0,4,2,0,0,0,1,1,1
198,0,24.0,1,1,0,1,1,1,0,6,2,1,1,0,1,1,0
199,0,22.0,0,1,0,0,1,1,1,3,3,1,1,1,0,0,0
200,1,19.0,0,1,0,1,0,0,1,5,4,0,1,0,1,0,0
201,0,26.0,1,1,0,1,1,0,0,3,3,0,1,0,0,0,0
202,0,22.0,1,1,0,1,1,0,1,4,3,0,0,0,1,0,0
203,0,26.0,1,1,0,1,1,0,1,5,4,0,0,1,1,1,0
204,1,16.0,0,1,1,1,0,0,1,3,3,0,1,0,1,0,1
205,0,23.0,1,1,0,1,0,0,0,5,4,1,1,0,0,0,0
206,1,21.0,0,1,0,0,1,0,1,3,4,0,1,0,0,1,1
207,0,24.0,1,1,0,1,1,1,0,6,2,0,0,1,0,0,0
208,1,22.0,1,1,1,1,0,0,1,5,3,0,1,0,1,0,0
209,1,22.0,1,1,0,0,1,0,1,4,4,0,1,0,0,1,0
210,0,23.0,1,1,0,0,1,0,1,3,2,0,0,0,1,1,0
211,1,21.0,1,1,0,0,1,1,0,5,2,1,0,0,0,1,1
212,1,20.0,1,1,1,0,1,0,0,5,4,0,1,0,1,1,0
213,0,25.0,0,1,0,0,1,0,1,4,4,0,1,0,1,0,0
214,1,18.0,0,1,0,1,1,1,1,4,3,0,1,1,1,1,1
215,0,22.0,1,1,0,1,0,0,1,5,3,1,1,1,1,1,0
216,0,22.0,1,1,1,0,1,0,1,3,3,0,1,0,1,1,0
217,1,22.0,1,1,0,0,0,0,1,4,4,0,1,0,1,1,1
218,1,22.0,1,1,0,0,1,0,1,6,3,0,1,0,0,1,0
219,1,20.0,1,1,0,0,1,0,0,5,3,0,1,0,1,0,0
220,0,25.0,0,1,0,1,1,0,1,6,4,0,1,0,1,1,0
221,0,23.0,1,1,0,0,1,0,1,6,3,0,0,0,0,1,0
222,0,24.0,1,1,0,0,1,0,1,5,4,0,0,0,1,0,0
223,0,22.0,1,1,0,1,1,1,0,6,4,1,0,0,0,1,0
225,0,23.0,1,1,0,0,1,0,1,4,3,0,0,1,0,0,0
226,1,19.0,1,1,0,0,1,1,0,3,3,1,0,1,1,1,0
227,1,17.0,1,1,0,0,1,1,0,4,3,1,0,1,1,0,0
232,0,26.0,1,1,0,0,1,1,0,4,4,1,0,1,1,1,1
240,0,22.0,1,1,0,0,0,0,1,4,3,1,1,1,1,0,1
245,0,22.0,1,1,1,1,1,0,1,4,3,0,1,0,1,0,0
249,0,22.0,1,1,0,0,1,0,1,6,3,1,0,1,0,1,0
251,0,26.0,1,1,0,1,1,0,1,4,2,0,0,1,1,1,0
258,0,26.0,1,1,0,1,1,1,0,6,4,1,0,1,1,1,0
259,0,23.0,1,1,1,0,1,0,1,3,3,0,0,0,0,1,1
260,0,24.0,1,1,0,0,1,0,1,4,3,0,0,0,1,1,1
261,0,23.0,1,1,0,1,1,0,1,4,3,0,0,1,0,1,0
262,0,24.0,1,1,1,0,1,0,1,6,3,1,1,1,1,1,1
263,1,17.0,0,1,0,0,0,0,1,5,3,0,1,0,1,1,0
264,0,24.0,1,1,0,0,1,0,1,4,3,0,0,0,1,1,1
265,0,26.0,1,1,1,0,0,0,1,5,3,0,0,0,1,0,1
266,1,23.0,1,1,0,0,0,1,0,5,2,0,0,1,1,0,1
268,1,23.0,1,1,0,1,1,0,1,6,2,1,0,1,1,1,1
270,1,24.0,1,1,0,1,0,1,0,5,3,1,0,0,1,1,1
272,1,25.0,0,1,0,1,0,0,1,5,3,0,1,0,0,0,1
273,1,18.0,1,1,0,1,1,1,1,4,3,1,0,1,0,1,1
274,1,20.0,1,1,0,0,1,1,1,6,4,1,0,1,1,0,0
275,0,23.0,1,1,0,0,1,1,1,6,3,1,0,1,0,0,1
277,1,19.0,1,1,0,0,1,1,1,3,3,1,0,1,1,0,0
278,1,17.0,1,1,1,0,0,0,1,4,3,1,0,0,1,0,0
279,1,22.0,1,1,1,0,0,0,1,5,2,0,1,0,0,0,0
281,0,24.0,1,1,0,0,1,1,0,5,4,1,1,1,0,1,0
283,0,21.0,1,1,0,1,1,0,1,6,2,0,1,0,1,1,0
284,0,24.0,1,1,0,0,1,0,1,6,3,0,0,0,0,0,1
285,0,23.0,1,1,0,0,1,1,1,6,3,1,0,0,1,0,0
286,0,23.0,1,1,1,0,1,0,0,3,3,0,0,0,1,1,0
287,1,19.0,0,1,1,1,0,0,1,6,3,0,1,0,1,1,0
288,0,22.0,1,1,1,1,1,0,1,3,3,0,0,0,1,1,1
289,0,23.0,1,1,0,0,1,1,0,6,3,1,0,1,1,1,0
290,1,18.0,1,1,0,0,0,1,1,5,4,1,0,0,1,1,0
291,0,24.0,1,1,0,0,0,1,1,5,2,1,1,0,1,1,1
292,1,16.0,0,1,0,0,0,0,1,5,3,0,1,0,1,1,0
293,1,21.0,0,1,1,0,1,0,1,5,3,0,1,0,0,1,1
294,1,22.0,1,1,1,0,0,0,1,4,2,0,1,0,1,1,0
295,0,25.0,1,1,0,1,1,1,0,5,2,1,1,1,1,1,1
296,0,24.0,1,1,0,1,1,1,0,4,3,0,0,1,1,1,0
298,1,22.0,1,1,1,1,1,0,1,5,3,0,1,0,0,1,0
299,1,20.0,1,1,0,0,1,0,0,6,3,0,1,0,1,1,1
300,0,23.0,1,1,0,0,0,1,0,6,3,1,0,0,1,0,0
302,0,25.0,0,1,1,0,1,0,1,5,3,0,1,0,1,1,1
303,0,22.0,1,1,0,1,0,0,1,6,3,1,1,1,1,1,0
304,1,19.0,1,1,0,0,0,1,1,3,2,0,0,1,1,1,1
305,0,25.0,1,1,0,0,1,0,0,3,4,0,0,1,1,0,0
306,0,26.0,1,1,0,0,1,1,0,6,4,1,0,1,1,0,1
307,0,22.0,1,1,0,1,1,0,1,5,3,0,1,0,1,0,1
308,0,22.0,1,1,0,0,1,0,0,4,3,0,0,1,1,0,1
310,1,22.0,1,1,1,0,1,0,1,4,3,0,1,0,0,1,0
311,1,22.0,1,1,0,0,1,1,1,6,2,1,0,1,1,0,0
312,0,26.0,1,1,0,0,1,1,0,3,2,1,0,0,0,1,1
313,1,20.0,1,1,0,1,1,0,0,4,3,0,1,0,1,1,1
314,0,24.0,1,1,0,0,1,1,0,4,3,0,1,0,1,1,0
315,0,26.0,1,1,0,1,1,1,0,4,3,0,0,1,1,0,0
316,0,25.0,1,1,0,0,1,1,1,6,4,0,0,1,0,0,0
317,0,26.0,1,1,0,0,1,1,0,3,3,1,0,1,1,1,1
318,0,24.0,1,1,0,0,1,1,0,4,4,0,0,1,0,1,0
319,1,21.0,1,1,0,1,1,1,0,6,4,1,0,1,0,1,1
320,0,26.0,1,1,0,0,1,1,0,6,3,1,0,1,1,0,0
321,1,21.0,1,1,0,1,1,0,1,5,4,0,0,0,0,1,0
322,0,24.0,1,1,0,1,1,1,1,3,3,1,0,1,1,1,0
323,0,25.0,0,1,0,0,1,0,1,6,2,0,1,0,1,0,0
324,0,26.0,1,1,0,0,1,1,1,4,4,0,0,0,0,1,0
326,0,24.0,1,1,1,0,1,0,1,5,4,0,0,0,1,0,1
327,0,26.0,1,1,0,0,1,1,1,3,3,0,0,0,1,1,1
328,1,21.0,1,1,0,1,1,1,0,5,4,1,0,0,0,1,0
329,0,23.0,1,1,1,0,1,0,1,3,3,0,0,1,0,1,0
330,0,25.0,1,1,0,1,1,1,0,3,3,0,0,0,1,0,1
331,0,26.0,1,1,0,0,1,1,1,4,2,0,0,0,1,1,1
332,1,22.0,1,1,0,0,0,0,1,4,3,0,1,0,1,0,0
333,1,22.0,1,1,1,0,1,0,1,3,2,0,1,0,0,1,0
334,1,20.0,1,1,0,1,1,0,0,4,4,0,1,0,1,0,0
335,0,25.0,0,1,1,0,1,0,1,3,3,0,1,0,1,1,1
336,0,25.0,1,1,0,0,0,0,1,4,3,1,1,0,0,1,0
337,1,21.0,1,1,0,0,1,1,1,4,3,0,0,1,1,0,1
338,0,22.0,1,1,1,0,0,0,1,5,3,1,1,1,1,1,1
339,0,25.0,1,1,0,1,1,1,0,4,3,1,0,1,0,0,1
340,0,24.0,1,1,0,0,0,1,0,3,2,1,1,1,0,1,1
341,0,24.0,1,1,0,0,0,0,1,4,3,1,0,1,0,0,1
342,1,22.0,1,1,0,0,1,1,0,5,2,1,0,1,0,1,0
343,0,21.0,1,1,0,1,1,0,0,6,3,1,0,1,0,1,0
344,0,22.0,1,1,1,0,1,0,1,5,4,0,1,0,1,1,0
347,0,22.0,0,1,0,0,0,1,0,6,3,1,1,0,0,1,1
350,1,20.0,1,1,0,0,1,0,0,5,2,0,1,0,1,1,0
351,0,25.0,0,1,0,0,1,0,1,4,2,0,1,0,1,1,0
352,0,22.0,1,1,0,0,1,0,1,4,3,1,0,0,0,1,0
353,0,22.0,1,1,0,1,1,0,1,4,3,1,0,0,0,0,0
354,0,23.0,1,1,0,0,1,0,1,4,3,0,0,0,0,1,0
355,0,24.0,1,1,0,1,1,0,1,3,2,0,0,0,1,1,1
356,0,26.0,1,1,0,0,1,1,1,4,3,0,0,0,1,0,1
357,1,21.0,1,1,0,0,1,1,0,6,3,1,0,0,0,1,0
358,0,23.0,1,1,1,0,1,0,1,6,4,0,0,1,0,0,0
359,0,25.0,1,1,0,0,1,1,0,4,4,0,0,0,1,1,1
360,0,26.0,1,1,0,1,1,1,1,6,2,0,0,0,1,1,1
361,1,20.0,1,1,0,0,1,0,0,4,4,0,1,0,1,0,1
362,0,25.0,0,1,0,0,1,0,1,4,2,0,1,0,1,0,1
363,0,22.0,1,1,0,0,0,0,1,5,2,1,1,1,1,1,0
364,0,22.0,1,1,0,0,1,0,1,4,2,0,1,0,1,0,1
365,0,25.0,1,1,0,0,0,0,1,4,3,1,1,0,0,1,1
366,1,21.0,1,1,0,0,1,1,1,6,3,0,0,1,1,1,0
367,0,24.0,1,1,0,0,1,0,1,5,3,0,0,0,0,1,0
368,0,25.0,1,1,0,1,1,1,0,4,2,1,0,1,0,1,0
369,0,24.0,1,1,0,1,0,1,0,4,3,1,1,1,0,1,1
370,0,26.0,1,1,0,1,1,0,0,4,2,0,1,0,0,1,0
371,0,23.0,1,1,0,1,1,0,0,4,3,0,0,0,1,1,0
372,0,26.0,1,1,0,0,1,0,1,5,4,0,0,1,1,1,1
373,1,19.0,0,1,1,0,0,0,1,4,4,0,1,0,1,1,0
374,0,23.0,1,1,0,1,0,0,0,6,3,1,1,0,0,0,0
376,0,24.0,1,1,0,0,1,1,0,3,3,0,0,1,0,1,0
377,0,25.0,0,1,0,0,1,0,1,3,4,0,1,0,1,1,0
378,0,23.0,1,1,1,1,1,0,1,4,2,0,0,0,0,1,0
379,0,23.0,1,1,0,0,1,0,1,6,2,0,0,0,1,1,1
380,1,21.0,1,1,0,0,1,1,0,5,3,1,0,0,0,1,0
381,0,24.0,1,1,1,0,1,0,1,4,3,0,0,0,1,1,0
382,0,23.0,1,1,0,0,1,0,1,4,2,0,0,1,0,0,0
383,1,18.0,0,1,0,1,1,1,1,5,4,0,1,1,1,1,1
384,1,20.0,1,1,1,0,1,0,0,5,2,0,1,0,1,0,1
385,0,25.0,0,1,0,0,1,0,1,6,4,0,1,0,1,1,0
386,0,22.0,1,1,1,1,0,0,1,6,2,1,1,1,1,1,0
387,0,22.0,1,1,0,1,1,0,1,6,3,0,1,0,1,0,1
388,1,20.0,1,1,1,1,1,0,0,4,3,0,1,0,1,1,0
389,0,25.0,0,1,0,0,1,0,1,5,3,0,1,0,1,0,1
390,0,23.0,1,1,1,0,1,0,1,5,3,0,0,0,0,0,0
391,0,25.0,1,1,0,0,0,0,1,5,3,1,1,0,0,1,0
392,1,21.0,1,1,0,1,1,1,1,5,4,0,0,1,1,0,0
393,0,24.0,1,1,0,0,1,0,1,3,3,0,0,0,1,1,0
394,0,25.0,1,1,0,0,1,1,0,4,3,1,0,1,0,0,0
396,0,24.0,1,1,0,0,0,0,1,4,2,1,0,1,0,1,1
397,1,22.0,1,1,0,0,1,1,0,3,3,1,0,1,0,0,0
398,0,21.0,1,1,0,0,1,0,0,4,3,1,0,1,0,1,1
399,0,23.0,1,1,1,1,1,0,1,5,3,0,0,1,0,0,0
402,0,22.0,0,1,0,0,0,1,0,4,3,1,1,0,0,1,1
403,0,25.0,0,1,1,1,1,0,1,4,2,0,1,0,1,1,1
405,0,22.0,1,1,0,1,0,0,1,3,3,1,1,1,1,1,0
406,0,22.0,1,1,0,0,1,0,1,6,3,0,1,0,1,1,1
407,0,22.0,1,1,0,0,1,0,1,5,2,1,0,0,0,1,1
408,0,22.0,1,1,0,1,1,0,1,4,3,1,0,0,0,1,0
409,0,22.0,1,1,0,1,1,1,0,4,4,1,1,0,0,1,0
410,0,22.0,1,1,0,1,1,0,0,5,4,1,0,1,1,0,1
411,0,24.0,1,1,1,1,1,0,1,5,3,0,0,0,0,0,0
412,0,23.0,1,1,0,0,1,0,0,5,3,0,0,0,1,1,1
413,0,22.0,1,1,0,1,0,1,0,4,2,1,1,0,1,1,0
414,1,21.0,1,1,0,1,1,1,0,5,3,0,0,1,0,1,1
415,0,25.0,1,1,0,0,1,1,1,5,3,0,0,1,0,1,0
416,0,25.0,1,1,0,1,1,1,0,5,2,1,0,1,1,0,0
417,1,19.0,0,1,1,0,0,0,1,3,2,0,1,0,1,1,0
418,0,24.0,1,1,0,0,1,1,0,6,3,1,1,0,1,1,0
419,0,22.0,0,1,0,0,1,1,1,5,4,1,1,1,0,1,0
420,0,22.0,1,1,1,0,1,0,1,4,3,0,0,0,1,1,0
421,0,26.0,1,1,0,1,1,0,0,5,2,0,1,0,0,1,0
422,0,25.0,0,1,1,0,1,0,1,4,4,0,1,0,1,0,0
423,0,26.0,1,1,0,0,1,0,1,5,2,0,0,1,1,0,1
424,1,21.0,0,1,0,1,1,0,1,6,2,0,1,0,0,0,0
426,1,22.0,1,1,1,0,0,0,1,4,4,0,1,0,1,0,0
428,1,22.0,1,1,0,1,1,0,1,4,2,0,1,0,0,1,0
429,1,20.0,1,1,0,0,1,0,0,4,3,0,1,0,1,1,0
430,0,23.0,1,1,0,0,1,0,1,3,2,0,0,0,1,1,1
431,1,21.0,1,1,0,0,1,1,0,5,3,1,0,0,0,1,0
433,0,22.0,1,1,1,1,0,0,1,4,3,1,1,1,1,1,0
434,1,18.0,0,1,0,1,1,1,1,4,4,0,1,1,1,1,1
435,0,22.0,1,1,0,0,1,0,1,4,3,0,1,0,1,0,1
436,1,22.0,1,1,1,0,0,0,1,6,2,0,1,0,1,1,0
437,1,22.0,1,1,0,1,1,0,1,4,4,0,1,0,0,1,0
438,1,20.0,1,1,0,0,1,0,0,5,3,0,1,0,1,1,0
439,0,25.0,0,1,1,0,1,0,1,4,4,0,1,0,1,1,0
440,0,23.0,1,1,0,0,1,0,1,4,3,0,0,0,0,1,0
441,0,24.0,1,1,0,1,1,0,1,3,2,0,0,0,1,0,1
